"total_cup_points","species","country_of_origin","region","harvest_year","grading_date","aroma","flavor","aftertaste","acidity","body","balance","uniformity","clean_cup","sweetness","cupper_points","color"
90.58,"Arabica","Ethiopia","guji-hambela","2014","April 4th, 2015",8.67,8.83,8.67,8.75,8.5,8.42,10,10,10,8.75,"Green"
89.92,"Arabica","Ethiopia","guji-hambela","2014","April 4th, 2015",8.75,8.67,8.5,8.58,8.42,8.42,10,10,10,8.58,"Green"
89,"Arabica","Ethiopia","oromia","2014","March 26th, 2015",8.17,8.58,8.42,8.42,8.5,8.25,10,10,10,8.67,"Green"
88.83,"Arabica","Ethiopia","guji-hambela","2014","April 4th, 2015",8.25,8.5,8.25,8.5,8.42,8.33,10,10,10,8.58,"Green"
88.83,"Arabica","Brazil",NA,"2013","September 3rd, 2013",8.58,8.42,8.42,8.5,8.25,8.33,10,10,10,8.33,"Bluish-Green"
88.75,"Arabica","Peru",NA,"2012","September 17th, 2012",8.42,8.5,8.33,8.5,8.25,8.25,10,10,10,8.5,"Bluish-Green"
88.25,"Arabica","Ethiopia","snnp/kaffa zone,gimbowereda","2014","March 30th, 2015",8.08,8.58,8.5,8.5,7.67,8.42,10,10,10,8.5,"Green"
87.25,"Arabica","China","yunnan","2015","April 7th, 2016",8.42,8.25,8.08,8.17,7.92,8,10,10,10,8.42,"Green"
87.25,"Arabica","United States","antioquia","2014","March 13th, 2015",8,8.25,8.08,8.5,8.25,8,10,10,10,8.17,"None"
87.17,"Arabica","Costa Rica","san ramon","2014","April 2nd, 2014",8.08,8.25,8,8.17,8,8.33,10,10,10,8.33,"Green"
87.17,"Arabica","Mexico","xalapa","2012","July 26th, 2012",8.17,8.25,8.17,8,7.83,8.17,10,10,10,8.58,"Green"
87.08,"Arabica","Ethiopia","sidamo","2013","September 3rd, 2013",8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,"Bluish-Green"
86.92,"Arabica","Brazil","south of minas","2011","December 3rd, 2011",8.5,8.5,8,8,8,8,10,10,10,7.92,"Green"
86.83,"Arabica","Uganda","kapchorwa eastern","2013","June 26th, 2014",8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,"Green"
86.67,"Arabica","Honduras","comayagua","2016","May 18th, 2017",8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,"Green"
86.58,"Arabica","Taiwan","leye, alishan township, chiayi county","2015","May 18th, 2016",8,8,8,8.25,8,8.17,10,10,10,8.17,"Green"
86.5,"Arabica","Tanzania, United Republic Of",NA,"2012","September 3rd, 2013",8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,"Bluish-Green"
86.42,"Arabica","Brazil","vale da grama","2011","December 3rd, 2011",8.5,8.17,8,7.75,8,8,10,10,10,8,"Green"
86.33,"Arabica","Costa Rica","west and central valley","2015/2016","December 3rd, 2015",8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,"Blue-Green"
86.25,"Arabica","Ethiopia","oromia","2014","March 27th, 2015",8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,"Green"
86.25,"Arabica","Kenya","muranga","2013","May 30th, 2014",8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,"Blue-Green"
86.17,"Arabica","Thailand","chiang rai","2012","April 12th, 2012",7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,"Green"
86.08,"Arabica","Taiwan","natou county","2015","June 10th, 2015",8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,"Green"
86.08,"Arabica","Kenya","nyeri","2014","January 29th, 2015",8.08,8.08,8,8,7.83,8.08,10,10,10,8,"Bluish-Green"
86.08,"Arabica","Brazil","south of minas","2011","December 3rd, 2011",8.33,8,8,8,7.75,8,10,10,10,8,"Blue-Green"
86,"Arabica","Colombia","tolima","2013","March 20th, 2014",7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,"Green"
86,"Arabica","Kenya","kiambu","2013","February 6th, 2014",7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,"Green"
86,"Arabica","Uganda","sipi, mt elgon","2012","February 13th, 2012",8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,"Blue-Green"
85.92,"Arabica","Guatemala","nuevo oriente","2016","May 16th, 2016",7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,"Green"
85.92,"Arabica","Uganda","eastern","2013","June 30th, 2014",8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,"Green"
85.92,"Arabica","Colombia","huila","2013","July 26th, 2013",8,8,8,8.17,7.83,8,10,10,10,7.92,"Blue-Green"
85.83,"Arabica","Panama","boquete","2017","October 9th, 2017",8,8,7.92,8.08,7.83,8,10,10,10,8,"Bluish-Green"
85.83,"Arabica","Ethiopia","oromia","2014","April 4th, 2015",7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,"Green"
85.83,"Arabica","Guatemala","acatenango","2012","July 3rd, 2012",7.83,8,8,8.17,7.83,8,10,10,10,8,"Green"
85.83,"Arabica","Guatemala","nuevo oriente","2012","June 5th, 2012",8,8,7.83,8.33,7.83,7.83,10,10,10,8,"Bluish-Green"
85.75,"Arabica","Ethiopia","addis ababa","2017","June 23rd, 2017",7.83,8,7.83,8.17,7.92,8,10,10,10,8,"None"
85.75,"Arabica","Peru","cajamarca","2013","January 22nd, 2014",8,8,8,8.08,7.92,7.75,10,10,10,8,"Green"
85.75,"Arabica","Papua New Guinea","eastern highlands province","2012","October 25th, 2012",8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,"Bluish-Green"
85.58,"Arabica","El Salvador","apaneca","2013","March 18th, 2013",7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,"Blue-Green"
85.58,"Arabica","El Salvador","ataco, apaneca - ilamatepec mountain range","2012","January 12th, 2013",7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,"None"
85.5,"Arabica","Kenya","kirinyaga","2014","May 23rd, 2015",7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,"Green"
85.5,"Arabica","Ethiopia","oromia","2015","March 31st, 2015",7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,"Green"
85.5,"Arabica","Uganda","bulambuli eastern region","2013","June 26th, 2014",8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,"Green"
85.5,"Arabica","Guatemala","huehuetenango","2013","February 26th, 2013",8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,"Green"
85.42,"Arabica","Ethiopia","oromia","2015","March 31st, 2015",7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,"Green"
85.42,"Arabica","Uganda","kapchorwa","2013","June 26th, 2014",8.08,8,7.83,7.67,8,7.83,10,10,10,8,"Green"
85.42,"Arabica","Brazil","south of minas","2011","December 3rd, 2011",8,8,8,7.67,7.75,8,10,10,10,8,"Blue-Green"
85.33,"Arabica","China","yunnan","2015","April 6th, 2016",8,8,8,7.83,7.83,7.75,10,10,10,7.92,"Green"
85.33,"Arabica","Guatemala","huehuetenango","2014","May 23rd, 2015",7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,"Green"
85.33,"Arabica","Costa Rica","west valley","2014","May 1st, 2014",7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,"Bluish-Green"
85.33,"Arabica","Costa Rica","san ramon","2014","May 1st, 2014",8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,"Bluish-Green"
85.33,"Arabica","Kenya","central kenya","2012","April 19th, 2013",7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,"Green"
85.33,"Arabica","Kenya","central kenya","2012","March 12th, 2013",8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,"Green"
